,count,mean,std,min,25%,50%,75%,max,missing_pct
GHI,517860.0,236.234507782026,328.2887873137984,-11.1,-2.0,0.7,468.7,1233.0,0.0
DNI,517860.0,166.8966732321477,262.08199746581363,-7.8,-0.5,-0.1,316.3,952.3,0.0
DHI,517860.0,111.65647742633145,153.099748973982,-12.6,-2.1,0.5,212.0,591.4,0.0
ModA,517860.0,232.39331016104734,324.25676744707664,0.0,0.0,3.4,448.7,1205.1,0.0
ModB,517860.0,225.0265838257444,314.31599611122675,0.0,0.0,3.2,434.0,1175.0,0.0
Tamb,517860.0,28.1469754373769,5.924506991535106,11.0,24.2,27.9,32.3,43.8,0.0
RH,517860.0,54.57458618159348,28.010491129834794,2.1,29.0,55.1,80.1,100.0,0.0
WS,517860.0,2.065885953732669,1.5131368580070073,0.0,0.9,1.9,3.0,6.9,0.0
WSgust,517860.0,2.737150774340555,1.9076359966377254,0.0,1.3,2.4,3.9,8.7,0.0
WSstdev,517860.0,0.46510910284632917,0.26015689297509936,0.0,0.4,0.5,0.6,2.3,0.0
WD,517860.0,153.5708676090063,102.69275765718739,0.0,58.2,182.3,235.3,360.0,0.0
WDstdev,517860.0,8.526833120920712,6.391820077017563,0.0,3.6,8.6,12.2,99.4,0.0
BP,517860.0,994.1863804889352,2.468349775994352,985.0,993.0,994.0,996.0,1003.0,0.0
Cleaning,517860.0,0.0009346155331556792,0.030557222223926858,0.0,0.0,0.0,0.0,1.0,0.0
Precipitation,517860.0,0.0011232765612327659,0.022702935734013965,0.0,0.0,0.0,0.0,2.3,0.0
TModA,517860.0,35.08563105858727,14.73829245619256,9.0,24.2,29.8,46.5,81.0,0.0
TModB,517860.0,32.371905534314294,12.334820308032782,8.1,23.5,28.8,41.3,72.5,0.0
Comments,0.0,,,,,,,,100.0
